LineCode,LineText
line:90688d,я слышала про клубнику
line:50c6f6,...и сейчас пять вечера
line:28fb4e,"а, ёлки"
line:75bc5b,нет у нас больше клубники
line:5a0e10,что?!
line:4787bc,но тогда
line:9d23e0,эта реклама — обман!
line:792b7e,мне жаль
line:fa09b1,обычно мы собираем местные ягоды
line:74f9e3,но в этом году урожай не задался
line:445678,впрочем
line:a9f2f4,у нас ещё полно тостов
line:2badff,будешь поджаренный тост?
line:b2dc23,"да, поделитесь хоть тостом!"
line:5a9a92,тогда прошу
line:7dd7f0,"может, тебе ещё что-то нужно?"
line:cb857e,могу я купить <color=red>золотое перо?</color>
line:38ecce,что за сувениры вы продаёте?
line:29e369,"ну, я полетела"
line:6fed20,давай
line:912017,конечно я съем этот тост
line:c77269,почему нет?
line:ad9d4d,м-м-м
line:34c2bd,"я чувствую, как..."
line:e92388,ничё не поменялось
line:818d86,йо
line:6f4292,этот поток — ПОЛНЫЙ УЛЁТ!
line:f6e187,с него можно обалденно спикировать!
line:07d094,хейо!
line:216605,"<sprite name=""Music"" tint=1> здесь тусуюсь по приколу"
line:27042d,"<sprite name=""Music"" tint=1> солнцем просто наслаждаясь"
line:fff7e4,"<sprite name=""Music"" tint=1> не сгорел под ним ни разу"
line:dd17df,"<sprite name=""Music"" tint=1> хотя целый день валяюсь"
line:3143e6,а как пикировать?
line:288233,звучит круто
line:cbb188,это жесть как легко
line:cf9948,надо только потренироваться
line:3adfca,"значит, слушай"
line:d3aad8,для начала
line:69d4a2,ты должна планировать...
line:e0ec7f,ну ты знаешь
line:33f613,это когда <color=red>удерживаешь {{JumpButton}}</color>
line:3b003c,"а потом, когда будешь\nдостаточно высоко"
line:ade2f6,"<color=red>отпусти стик,</color>\nи начнёшь пикировать"
line:ed17e5,"<color=red>отпусти кнопки движения,</color>\nи начнёшь пикировать"
line:4c73ef,но при этом всё ещё <color=red>держи {{JumpButton}}</color>
line:38fdce,в этом вся хитрость!
line:2b369a,"если правильно пикировать,\nможно <color=red>нехило разогнаться</color>"
line:58343b,попробуй на этом восходящем потоке
line:547d16,он нормально так даст\nвысоты для старта!
line:b2dd9d,да ты СЕЧЁШЬ ФИШКУ
line:d3f65e,"это балдёж, как жареный ёрш"
line:1eaf2b,*выдыхает*
line:c2341c,фух
line:9dbecf,у меня...
line:c8f624,...у меня получилось!
line:a329a8,!!!
line:f43890,ТЕЛЕФОН ЛОВИТ!!!
line:8c98d3,отсюда видно мой домик!
line:d88089,...
line:d84529,кхм-кхм
line:a64258,Э-Э-Э-Э-Э-ЭЙ!!!
line:715ae9,ТЁТЯ МЭ-ЭЙ!!!
line:d8a3ab,"да, Клэр?"
line:4df5b5,ДА-А-А!
line:445e93,ЭТО Я!!!
line:ccdb15,ТЫ МЕНЯ СЛЫШИШЬ?!
line:fa6a18,конечно слышу
line:8a59ef,О-О-О
line:8ee909,ХОРОШО
line:ae3ea7,повеселись там!
line:90a5b4,ДА-А-А-А
line:6541f6,ТАК И СДЕЛАЮ!!!
line:c00ec6,КСТАТИ
line:8f00a0,ЧТО ДЕЛАЕШЬ?!
line:5d2a04,"о, ну знаешь"
line:8c722c,как обычно
line:ffba56,Я-Я-ЯСНО
line:47aad8,КРУТЬ
line:9caf98,А ЧТО СЕГОДНЯ НА УЖИН?!
line:488fb8,ну
line:440bf7,хочу приготовить карри
line:9ead4c,ЗВУЧИТ ВКУ-УСНО-О!
line:b3537e,ТЁТЯ МЭЙ
line:6e8868,что?
line:530dce,ПРОСТО ТАК!
line:e148b8,ДУРАКА ВАЛЯЮ!!!
line:1ae3c3,"да уж, заметно!"
line:938517,алло?
line:5f8c0e,"привет, Клэр"
line:2887df,мама!
line:db60b7,наконец-то ты позвонила
line:ae46f6,я так рада
line:fb2a4f,"весь день ждала, волновалась"
line:918f79,"ой, солнышко"
line:3aaa27,"я же говорила, что со мной\nвсё будет хорошо!"
line:c29b2a,"да, но"
line:625c90,ты всегда так говоришь
line:5fed41,и со мной всегда всё хорошо!
line:a8b951,...
line:7f98d9,ну ладно
line:3e93b6,как ты там?
line:a0dcaa,о
line:c94b31,я сейчас на вершине\nЯстребиного пика!
line:a63e6e,ух ты!
line:2237e8,надо же
line:6eb468,мне там так нравится
line:5ea065,мы с Мэй каждое лето\nтуда поднимались
line:33337b,вот и твоя очередь пришла!
line:4094cb,ага... типа
line:3c83f7,ты уже такая взрослая
line:a36f51,мой птенчик покидает гнездо
line:ac8db8,скоро забудешь свою старенькую маму
line:efe93a,но ты мне НУЖНА
line:8ff0d0,и всегда будешь нужна!
line:943931,когда я узнала об операции...
line:07950b,...почему ты ничего\nне рассказала?!
line:be076a,"не хотела, чтобы ты беспокоилась"
line:6a1b43,но
line:fae7e7,ты всегда волнуешься по пустякам
line:6315da,я ведь могла быть рядом
line:b1f752,а сейчас ты там совсем одна
line:66e500,"да брось, ничего страшного!"
line:2acde0,всё прошло хорошо
line:666129,"я рада, что ты в порядке"
line:d2ddf0,люблю тебя...
line:e25ebd,мам
line:6a17a6,и я тебя люблю
line:2e7f4d,подожди
line:545678,тут что-то происходит!
line:9a8ed9,"это что, тот самый\nвосходящий поток?!"
line:2a159c,э-э
line:9fcd15,похоже на то
line:9ef186,"скорей, взлетай!"
line:1d16be,вдруг сейчас выдохнется
line:09fc02,я хочу
line:a32f4d,но я чуть-чуть боюсь
line:d5621b,Клэр
line:0d150f,ты сможешь!
line:4c5080,"я скоро к вам приеду, хорошо?"
line:e45965,кстати
line:82a853,не забудь передать привет <color=red>тёте Мэй!</color>
line:e7b047,"она, наверно, заждалась\nтебя у домика"
line:52f04c,"давай, люблю тебя!"
line:230817,"и я тебя, мам"
line:85188e,привет
line:2ed2fe,было бы неплохо отдохнуть
line:be5dbc,спим
line:6b397e,пока рано
line:fd5647,ну что
line:33151c,пора вздремнуть!
line:0493bf,так как там было?
line:f8414d,ну
line:65055a,"мне нужно поговорить о том, как пикировать,\nесли тебе ещё не дали урок"
line:45a376,как же здесь всё-таки красиво
line:cda187,Клэр!
line:d7aeb5,у тебя будет отличное лето!
line:760ec9,здорово ведь
line:62ea07,побыть вдали от города
line:d3607e,отвлечься от всей этой суеты
line:3fd92a,ты уже спишь?
line:049cc1,м-м-м
line:302117,почти
line:dedd03,потерпи ещё немного!
line:a605f1,мы почти у переправы
line:126e5b,возьму я твою «подработку»
line:03a23c,нетушки
line:0d9c32,хорошо
line:d2d27b,"вот, забери..."
line:85f4ce,...и доставь его рейнджеру Мэй
line:f109e4,это всё
line:3232ef,ну как хочешь
line:b0f25b,тебе посылка!
line:1dcac3,от Джен
line:168e81,ух ты!
line:e06d87,какая прелесть
line:ca470a,она очень милая девочка
line:13f4b4,"было сложно, наверное,\nсобирать все эти ракушки"
line:07c5c9,ну вообще-то...
line:e1489b,а?
line:a40af1,"да не, неважно"
line:240101,ой!
line:fede28,вспомнила
line:312906,я в хижине нашла золотое перо
line:21415c,наверняка тебе пригодится
line:95fb1a,"ух ты, спасибо"
line:31d44f,но как-то
line:3ac7bb,странно всё совпало
line:594e0f,это типа награда за квест?
line:4f7537,а? ты о чём?
line:324d4c,да так...
line:2d2083,"о, кстати"
line:727813,"о-о, она идеальна"
line:39b491,давай меняться!
line:0c7755,когда захочешь что-то раскопать...
line:dfbca3,<color=red>нажми {{MenuButton}}</color> и в инвентаре\n<color=red>выбери лопату</color>
line:52873b,не скучай!
line:08d344,"постой-ка, юная леди"
line:acea5b,не сочти за грубость
line:1099bb,"но кажется, ты не совсем подготовлена"
line:817652,здешние морозы только\nзакалённым нипочём
line:2136cc,"я не думала, что будет\nнастолько холодно!"
line:eb8b41,у меня перья теперь как сосульки!
line:e544b0,"Ястребиный пик — это область\nгеотермальной активности,\nединственная в регионе"
line:0c4c62,"поэтому у нас есть горячие\nисточники. сходи окунись,\nесли совсем замёрзнешь"
line:00e22d,они возвращают силы!
line:53a164,спасибо за совет!
line:da7689,хм
line:4e76d8,а я ведь почти на вершине?
line:6535ef,ну да...
line:035a7d,однако тут тяжёлый подъём
line:c3ba01,"тебе может понадобиться больше\n<color=red>золотых перьев,</color> чем прежде"
line:6e4900,здравствуй
line:81a16c,"полагаю, добралась ты удачно?"
line:2f558c,ага!
line:1bd829,но было тяжело...
line:05be99,"можно сказать, я..."
line:fef811,...взяла на себя МИШКУ!
line:bd9ba7,"ха-ха, ты понял?"
line:100ad6,...
line:e09a0c,ну мишку в смысле «лишку»
line:c8da80,да
line:b44e22,я понял
line:835d44,будь осторожнее!
line:53a781,"если попадёшь в беду, то\nименно мне придётся вызывать\nтвою тётю по рации!"
line:c3e961,бег — это моя жизнь
line:bfbadb,я бегаю марафоны по всему миру
line:773dc9,"что, если"
line:11536d,бег не моя жизнь
line:36d1dd,а способ сбежать
line:8de64b,ОТ жизни?!
line:c173c6,...
line:670a59,это меня тревожит
line:f72c0e,ГЛАВНОЕ СКОРОСТЬ!!!
line:5fd249,РАЗГОВОРЫ ПОТОМ!!!
line:82d424,привет!
line:3875bf,ты участвуешь сегодня в забеге?
line:199978,ага
line:24dca3,я сейчас тренируюсь
line:205f2e,тебе что-то надо?
line:4259b6,а почему вы тут бегаете?
line:575dc5,"что, прости?"
line:ec50e2,к соревнованиям готовимся!
line:f41820,тебе что-то надо?
line:4c1ab9,снова ты?
line:6e934b,тебе что-то надо?
line:bed782,можно и мне на соревнования?
line:f0d6a7,"нет, извини, ничего"
line:0a5f04,*вздох*
line:f09f2c,запись закончилась\nаж в прошлом месяце
line:d9fe0a,почему никто не\nчитает правила?!
line:538f2a,"ты уже <color=red>вторая,</color> кому\nя сегодня отказываю!"
line:4b379d,ну всё
line:9cdf84,мне пора
line:2fffae,ладно
line:b89bd1,мне пора
line:6ce8aa,ох...
line:682dfd,ненавижу дни ног
line:919d2e,"о, эм"
line:486301,твой дядя просил напомнить
line:412751,чтобы ты делал перерывы
line:dc639a,и почаще пил воду
line:c9231c,хороший совет
line:17a4fb,только ещё круг сделаю...
line:d74fa4,удачи!
line:41e6b6,спасибо
line:5cafa7,ох...
line:771cf2,ненавижу дни ног
line:21cf22,Helianthus Dissultantis\n«Резиновый цветок»
line:ac8167,Эндемик природного парка\n«Ястребиный пик»
line:e36269,"Этот уникальный вид в условиях\nизбытка влаги <color=yellow>расцветает мгновенно,</color>\nнадуваясь подобно мячику!"
line:ec2521,Возьмите <color=yellow>ведро с водой</color>\nи попробуйте сами!
line:da1b6e,<color=#e3967f>*Все вёдра являются\nсобственностью парка.</color>
line:9d3c78,"<color=#e3967f>Пожалуйста, не выносите их\nза пределы парка!!!</color>"
line:cdb11f,хм
line:893c47,"ведро, наверно, тяжёлое..."
line:dc899d,"вряд ли я смогу летать или лазать,\nесли набрать в него воды..."
line:c03601,но я всё ещё смогу планировать!
line:37428a,вряд ли я смогу летать или лазать\nс полным ведром воды
line:e51435,но я всё ещё смогу планировать!
line:0511de,"ладно, как хочешь"
line:cee433,я чего?!
line:6cdec4,ПФ!
line:20b440,сама-то чего здесь ошиваешься?
line:5cd3d2,ну...
line:3a5721,я поднимаюсь на Ястребиный пик
line:763c29,вот это да
line:ca2ad4,как оригинально
line:c72c5f,эй!
line:a73677,просто говорю
line:15eb7a,туристы приезжают отовсюду
line:d047c2,и такие
line:87fc49,«я хочу-у на Ястреби-иный пи-и-ик»
line:dc79a1,потом добираются сюда
line:df37dd,"видят, что нужно\nреально напрягаться"
line:65f61c,и сдаются
line:8e3aa9,блин
line:d4abe7,не будь ты...
line:1cc87c,...таким
line:0a3403,я просто говорю
line:11e3a4,видал я уже это не раз
line:47ba90,ну так всё же
line:cf0784,зачем ты их перепродаёшь?
line:5ddd9c,я про себя всё честно рассказала
line:0d3cc3,мне нужны деньги
line:edd8e9,...
line:7973bb,*вздох*
line:adfb25,не хватает заплатить\nза следующий семестр
line:cf2e64,хотя по сути уже почти хватает
line:a6c367,просто пытаюсь заработать ещё немного
line:dc1233,вот как!
line:acb2a8,и сколько тебе нужно?
line:30eb73,...
line:ac88f8,"так, ну вот я продам\nвсё своё барахло"
line:435122,и всё равно не хватит\nгде-то 400 монет...
line:72431d,м-да
line:6f84d5,угу...
line:a86edb,но пофиг
line:bad128,"такова жизнь, видать"
line:9cf882,"стоп, чего?"
line:cbaa8d,реально?
line:9284d3,ну да
line:aff092,но почему?
line:7a98aa,да так
line:9695ed,просто я гуляла по острову\nи нашла много монет
line:131aa6,у меня талант ищейки
line:6428d7,вау
line:fda1cc,эм
line:be049a,"не знаю, что и сказать"
line:67bb03,"400 монет, да?"
line:fb019d,забирай!
line:07ddb5,...
line:a36d85,спасибо
line:2d0e86,м-м
line:d33091,возьми тогда это
line:bd574d,"я, эм"
line:ffdcaf,нашёл их
line:0f0128,собирался продать в интернете\nили вроде того
line:13777d,но теперь они мне не нужны
line:6efae9,вот как?
line:c0e365,ладно
line:c84104,бывай
line:fafc6f,"о, да"
line:2068f8,не вопрос
line:cb2443,"для тебя по нормальной цене, 40 монет"
line:6938d1,конечно!
line:9f5c4f,для тебя за 40 монет
line:db7350,до скорого
line:99287e,"ой, подожди"
line:6cf4bf,мне не хватает
line:f67146,вообще-то...
line:e5cbce,"ты купила всё, что осталось"
line:19dabf,пардон
line:7fcff9,да ничего
line:3e8976,часы и правда здоровские
line:7f5ed0,"ох, спасибо"
line:97c9fe,их носил ещё мой дедушка
line:546ed9,они побывали во всех уголках мира
line:c747af,"вообще, я их теряю не первый раз"
line:fa221d,к счастью
line:89b012,они всегда находили дорогу домой
line:7bd1ef,"кажется, я нашла ваши часы"
line:eff68a,да!
line:677360,это они!!!
line:abc1c9,спасибо! спасибо большое!!!
line:d4347e,пожалуйста!
line:094523,я должен вернуть должок
line:03dcec,прошу
line:d95867,примите это
line:85f9d5,серебряные перья очень редкие
line:72666e,
line:6083ad,с ними лазают быстрее
line:94f75d,и летают выше!
line:4bd63e,привет ещё раз!
line:dc151d,физкульт-привет!
line:036988,какие планы на сегодня?
line:978863,ну
line:8f879a,на Ястребиный пик хочу подняться
line:af7466,это то ещё испытание!
line:2d5d1b,слушай
line:73be56,"чтобы добраться до вершины,\nнадо научиться <color=red>скалолазанию!</color>"
line:88b586,почему бы тебе не вступить\nв наш клуб скалолазов?
line:64794d,хм
line:510fdb,вас всего двое?
line:7149bd,ЭЙ!
line:1535cf,АССОЦИАЦИЯ СКАЛОЛАЗОВ\nНАСЧИТЫВАЕТ СОТНИ\nУЧАСТНИКОВ ИЗ БОЛЕЕ\nЧЕМ 35 СТРАН МИРА!
line:ee02f6,"СОТНИ УЧАСТНИКОВ,\nРАЗВИВАЮЩИХ И ОТТАЧИВАЮЩИХ\nИСКУССТВО СКАЛОЛАЗАНИЯ"
line:239d8b,ЧТОБЫ ДОВЕСТИ ЕГО\nДО АБСОЛЮТНОГО\nПРЕДЕЛА И ВЫШЕ
line:ee8510,э-э-э
line:53d1c0,я имела в виду
line:258d4f,только вы вдвоём...
line:ab6dd5,типа
line:47b978,здесь?
line:195560,...
line:e54ad7,И ЧТО?!
line:451176,"СЛУШАЙ, МЕЛКАЯ"
line:d84a7a,СКАЛОЛАЗАНИЕ НЕ ДЛЯ СЛАБЫХ ДУХОМ
line:93890e,МНОГИМ
line:74a72e,ЭТО ПРОСТО НЕ ПО ЗУБАМ
line:f6efc5,эм
line:5ff3ad,на самом деле всё не так плохо!
line:9b7f63,короче
line:021ae9,хочешь вступить в наш клуб?
line:132ea9,конечно
line:fa8e51,не
line:95ed98,здорово!!!
line:50d470,вот и наш третий участник!
line:ce0480,НЕ ТРЕТИЙ
line:a3badc,А ПРОСТО ЕЩЁ ОДНА КАПЛЯ
line:3b1fed,В МИРОВОМ ОКЕАНЕ
line:e7d66d,СКАЛОЛАЗОВ
line:084264,"ладно, ладно"
line:a4fa72,в общем
line:99ea93,"эх, жаль"
line:8663c6,"скажи, если передумаешь"
line:00fa8b,"ну как, достала перо?"
line:1758a1,нет ещё...
line:9ee6ae,они стоят по 40 монет
line:f629a3,а у меня только {{Item_Coin}}
line:968bf9,ох!
line:e63187,хм
line:e5a798,давай я тебе добавлю!
line:1557db,"ого, спасибо!"
line:8586a7,не за что!
line:606c86,обо всём по порядку
line:c6f899,у тебя уже есть <color=red>золотое перо?</color>
line:18ca34,ага!
line:7ba1fd,отлично!
line:668b67,"ой, ещё нет"
line:9703a6,понятно
line:2b1f0e,без перьев лазать не получится
line:03ff54,но их вон в <color=red>туристическом\nцентре</color> продают
line:1ae06c,"недорого, вроде"
line:b884a1,"приходи, когда достанешь!"
line:cd696e,"итак, для начала"
line:d83ef3,попробуй залезть на <color=red>низкую стенку</color>
line:869a9d,просто <color=red>подойди к ней</color>\nи <color=red>зажми {{JumpButton}}</color>
line:514aa4,а теперь попробуй стенку повыше!
line:56818a,"тут, наверно, придётся подпрыгнуть\nс другой площадки"
line:db5c24,попробуй залезть на <color=red>низкую стенку</color>!
line:c4615f,просто <color=red>подойди к ней</color>\nи <color=red>зажми {{JumpButton}}</color>
line:1ffe75,молодец!
line:7fe2ae,ТОЖЕ МНЕ
line:b36522,...
line:6bfb52,этот подъём лёгкий
line:1d4aeb,настоящие профи взбираются\nна большую стену
line:067362,"ух ты, отличная техника!"
line:adcee5,ну сойдёт для начала
line:92f199,продолжим
line:e4504b,"знаю, ты умеешь летать и всё такое"
line:2db8d4,"но когда карабкаешься,\n<color=red>выносливости тратится\nменьше</color>"
line:3963cb,просто имей в виду
line:9d5f6b,ясно
line:de1b34,и что дальше?
line:10be3d,НА ЯСТРЕБИНЫЙ ПИК!
line:7a4c15,"ох, ладно"
line:862787,а мне нужно ещё\nчуть-чуть разогреться
line:7c9442,увидимся наверху?
line:b2c223,точно!
line:3395b7,э-э-э
line:7d2364,"знаю, ты умеешь летать и всё такое"
line:d53273,но у нас клуб скалолазов
line:677918,да!
line:0cb735,клуб скалоЛАЗОВ!
line:1000df,...
line:e3d719,слушай
line:ed61f7,"попробуешь всё-таки лазать, а не летать?"
line:ec75d1,"летать здорово, конечно"
line:cc8125,но
line:ae24d2,"смысл клуба в том, что\nпо скалам мы именно"
line:7a5fee,лазаем!
line:c60dfd,"по-моему, ты просто\nвыпендриваешься"
line:486524,"нет, не правда!"
line:1acd7e,я просто
line:d22a9a,"люблю везде летать, наверное"
line:c63312,дай скалолазанию хоть шанс!
line:65c4e9,ведь это тоже весело
line:61f2b9,эх
line:198b54,ты извини Тима
line:43219b,дело не в тебе
line:c08537,просто он сегодня на взводе
line:6afb4f,Я В НОРМЕ!
line:e8b063,"мы правда рады, что ты с нами!"
line:823b1b,э-э
line:694ad1,спасибо!
line:f1bb42,а почему это он на взводе?
line:669fe9,ну
line:3cc537,на самом деле
line:a7c663,он всегда немного такой
line:531d58,"Я ВСЁ СЛЫШУ, ВЫ В КУРСЕ?!"
line:52176b,я занят
line:0a065a,хочешь узнать секрет скалолазания?
line:9e8880,само собой
line:22ebd2,"лазать, лазать и ещё раз лазать"
line:5e38c0,умно
line:ef2eec,можешь потренироваться на высокой стене
line:b8855d,как только одолеешь низкую
line:732b78,если с большой стеной будет сложно
line:a36443,просто повторяй за мной
line:882439,я отточил мастерство\nза ГОДЫ скалолазания
line:2fe8f3,"надеюсь, ещё увидимся\nна Ястребином пике"
line:19fd90,"надеюсь, что да!"
line:e14dc0,не хочу врать
line:e4ccc6,подъём будет тяжёлый
line:69f05d,"и ты знаешь, что надо делать"
line:67aad7,что?
line:f0fea7,"лазать, лазать и ещё раз лазать"
line:8291ec,ха
line:0bf099,точно
line:4a8b2b,"<sprite name=""LeftArrow"" tint=1> К Ястребиному острову"
line:14872b,"о, привет!"
line:2434ce,хм
line:6308ee,"видно, ты очень наловчилась\nлазать по скалам!"
line:6fa087,ага!
line:731080,"ЭЙ, ЭМ"
line:122814,М-М-М
line:ec820f,КАЖЕТСЯ
line:e53dfc,Я ЗАСТРЯЛ
line:a36c64,Тим!
line:1e459c,ТУТ СЛИШКОМ ВЫСОКО
line:7d3730,ЧТО Я НАТВОРИЛ
line:b09cc0,Я ЖЕ НЕ ВЫДЕРЖУ
line:44af6e,ТИМ!
line:7963cc,сделай глубокий вдох...\nи выдох
line:5c0d67,постарайся успокоиться
line:705993,совсем чуть-чуть осталось
line:27857c,"ты САМ знаешь, что всё сможешь"
line:257951,Я — СМОГУ?
line:bc94be,ЧТО Я ВООБЩЕ ДЕЛАЮ?!
line:e2fbae,сосредоточься на следующем шаге!
line:0dadb4,ты справишься!
line:f29970,Я СПРАВЛЮСЬ?
line:be8e75,Я СПРАВЛЮСЬ
line:91671a,ох
line:1338a8,это может затянуться
line:a687a6,мы тебя потом догоним
line:89ad8e,"я прослежу, чтобы с ним\nничего не случилось!"
line:03e39c,"ну как, добралась до вершины?"
line:184abe,да!
line:019ffa,было очень классно
line:00bc9b,"теперь я понимаю, почему\nтебе там так нравится"
line:e40dfc,но всё-таки
line:30d49e,это была не совсем «короткая» прогулка
line:5d3b37,я так устала
line:3e962c,ха-ха
line:2de29d,что ж
line:a6fd6c,"может, я чуть-чуть преуменьшила!"
line:2ee7f9,"ага, чуть-чуть!!!"
line:afdb51,ой
line:4c10ab,чуть не забыла
line:02acdc,мама передаёт привет
line:d34760,и...
line:cfbf14,всё прошло нормально
line:851ea7,ну и хорошо
line:0aed09,твоя мама — крепкий орешек
line:7f4c32,я это всегда знала
line:d54e22,"как я рада, что поехала"
line:67e9f4,было здорово
line:88bf5f,"а я рада, что ты здесь"
line:f996c9,"можешь приезжать,\nкогда захочешь!"
line:40255a,привет!
line:cb8556,что рисуешь?
line:c5fd2d,эх...
line:28f4eb,"сразу и не сообразишь, да?"
line:3cdd76,ну
line:21edbb,по задумке это побережье
line:65a659,хотя
line:d1a1d3,я пробую уйти в более...
line:5c67df,...абстрактную форму
line:cc88da,а-а-а
line:887a86,"кажется, теперь вижу"
line:e89e72,но картина пока не закончена!
line:ccf33e,"даже не знаю, что\nполучится в конце"
line:a1cc69,"наверное, скоро пойду\nк маяку у Чернолесья"
line:1d8901,я всё ещё...
line:992933,...в поиске нужного настроения
line:7fc822,то есть
line:e77436,пляж — это вон то большое\nжёлтое пятно?
line:3acd9f,хм...
line:2e2ac9,"думаю, да?"
line:c95c26,тут больше о пляжном настроении
line:f89d83,чем о самом пляже
line:759dff,о-о
line:708412,понятно
line:e04ed1,"пожалуй, отложу\nпока эту картину"
line:3a6654,"надеюсь, у маяка\nповезёт больше..."
line:22da5c,"привет, снова ты!"
line:396fcd,ага!
line:867a10,кто как не я!
line:93ec75,"ну, получается пока так"
line:d13984,что думаешь?
line:21c39a,...
line:7b243c,ва-ау
line:1eb3f4,ОЧЕНЬ круто!
line:c17a9f,даже...
line:353744,"лучше, чем в жизни!"
line:1e10ce,"ха-ха, что ж"
line:07dfb2,"не думаю, что я могу соперничать\nс реальной жизнью"
line:205dc0,но результат меня радует
line:1ca871,...
line:c83c44,"хотя не знаю, впишется ли\nтакое в мою выставку"
line:d55b99,нужно что-то... более интересное
line:d28019,"пойду-ка я вдоль реки,\nближе к началу"
line:e35277,давно хочу написать картину\nс воздушной перспективой
line:c39625,вдоль какой реки пойдёшь?
line:1a0e69,"наверное, той, которая на\nзападном склоне горы"
line:065421,её исток лежит выше
line:2df2aa,хм
line:6795a5,не годится
line:71c3d6,да ну?
line:ff8410,мне нравится!
line:edd9eb,благодарю
line:2d1c54,для меня это не просто парк
line:5a9496,но
line:303aa2,вряд ли кого-то мои\nработы впечатлят
line:4787d7,эй!
line:55e756,МЕНЯ впечатлили!
line:55791a,я в смысле
line:48a619,впечатлят любого
line:027722,...
line:ff135f,нужно преподнести зрителю что-то...
line:2c368b,по-настоящему достойное
line:4b27c2,ну
line:c87b69,в академическом смысле
line:fb4f56,хм
line:66b6eb,говорят
line:6d7a36,в тени горы есть кладбище
line:ae3f49,туда и отправлюсь
line:e051ca,а почему кладбище?
line:e851bc,да просто
line:7b1864,хочу попробовать\nчто-то новое
line:77e86f,ты что...
line:c71675,рисуешь под дождём?
line:1e252d,ага
line:65ee85,а так можно?
line:f4008d,я пытаюсь!
line:261d69,времени мало
line:924b88,выставка на следующей неделе!
line:aceded,оу
line:c64067,понятно
line:341232,пока ничего не годится...
line:f4e7b1,меня наконец-то пригласили в\nгород показать свои работы
line:d1da28,но у каждого там потрясающая\nсовременная живопись
line:14b63a,"неясно, соответствую\nли я их уровню"
line:946864,но
line:e35f98,твои работы прекрасны
line:f4a746,"а знаешь, кто курирует выставку?"
line:208fa6,Ян Артсворт!
line:ee7951,"знаменитый современный\nхудожник, Ян Артсворт!"
line:79f2c8,он меня ЛИЧНО пригласил
line:df4fee,а я
line:c897b3,а я
line:bf3999,возьму да заявлюсь со своими\nскучными пейзажами
line:1de69e,а он проскользит по ним взглядом
line:1d9512,и скажет в сторону
line:9c05b9,«это не трогает струны моей души»
line:8a33d6,"а потом ещё и располовинит\nих, как в карате!!!"
line:0a04b0,чего?!
line:e80321,да он так не сделает!
line:5cdf3a,но МОЖЕТ
line:ac9433,у него ведь ещё и чёрный пояс есть!
line:5814d8,так что сценарий вполне вероятный
line:4da0e0,*вздох*
line:7f43e9,но ты права
line:f6ab71,здесь пытаться писать бессмысленно
line:879ba1,"может, больше повезёт\nна смотровой площадке"
line:26c376,почему ты не отдохнёшь?
line:0ef726,столько картин за день
line:f4a611,не могу
line:3c3a15,"нужно показать миру,\nчто я чего-то стою"
line:216a6e,то есть
line:c39bce,моё искусство чего-то стоит
line:a88b2d,ВАУ!
line:8265b1,как круто!!!
line:ce64ef,мне нравится!!!
line:0a2bad,"о, привет"
line:5a5c63,"мне тоже нравится, но"
line:367187,выставить это я не могу...
line:341304,вид со смотровой площадки\nне запечатлевал только ленивый
line:17efbd,думаешь?
line:720fa5,но тут такой клёвый стиль
line:4cea8f,"спасибо, но"
line:bfc5f7,это всего лишь пейзаж
line:665f02,революции в искусстве\nим не совершить
line:0901ce,я хочу...
line:b280b0,"я хочу, чтобы зритель\nПРОЧУВСТВОВАЛ\nмою работу"
line:b8aed6,но
line:a92fd6,я чувствую!
line:00901b,"вот смотрю на неё, и..."
line:c9e8cc,
line:69ccb7,тепло на душе становится
line:1c18b9,если бы у меня на стене\nбыла такая картина
line:aa4866,я бы смотрела на\nнеё каждый день
line:500eb3,и
line:19ac34,каждый день бы становился лучше
line:dbfd5a,в самом деле?
line:a746d1,да!
line:52963e,я живу в городе
line:1e0ac9,"и я люблю город, но..."
line:0cccc3,там и близко нет ничего похожего
line:bc9c22,хм
line:e5b01f,"тебя же пригласили\nна выставку, так?"
line:2be995,"и пригласили тебя, потому что\nпризнают твоё мастерство!"
line:b23f3c,"я уверена, они и эту работу оценят!"
line:58885a,не знаю
line:1bb420,мне нужно подумать
line:200c86,хочу найти что-то новое
line:3cd3e7,может
line:4f81af,стоит вернуться к истокам...
line:136964,всё хорошо?
line:41a956,да
line:53c24e,я в порядке
line:d5f1ab,увидимся
line:d01363,а рейнджер Джон\nбудет на картине?
line:eacf94,да!
line:5fa9a3,Джон согласился попозировать
line:984ee0,потому что он лучший
line:e741de,ой
line:76421b,"я, наверно, покраснел от смущения"
line:442ac1,ничего страшного!
line:ceeccb,сделаем некраснеющую версию
line:7d939f,если пожелаете
line:0e670b,вау
line:2abd45,выглядит очень круто!
line:d26d5d,"наверное, я просто буду\nизображать то, что хочется мне"
line:0551b4,вместо того чтобы
line:195367,"изображать то, что, как мне\nкажется, хотят видеть другие"
line:587c79,по крайней мере
line:68b97d,так проще
line:f26794,то есть
line:62e4dc,вы хотите нарисовать меня?!
line:07c624,"э-э, ну да!"
line:1866be,парк — это и вы в том числе
line:274641,просто я хочу запечатлеть\nкаждую его деталь
line:5b539b,как здорово!
line:8c5f85,ах да
line:2100fa,мне тут перо по пути вниз попалось
line:0d86ba,"Джон сказал, ты их собираешь"
line:0dd6a8,"в общем, отдаю тебе"
